chinese_,chinese
制作战神腿甲达到X40可解锁,製作戰神腿甲達到X40可解鎖
制作背叛者腿甲达到X44可解锁,製作背叛者腿甲達到X44可解鎖
制作帝国腿甲达到X50可解锁,製作帝國腿甲達到X50可解鎖
获取遗迹骑士腿甲的图纸,獲取遺跡騎士腿甲的圖紙
制作森林守卫腿甲达到X46可解锁,製作森林守衛腿甲達到X46可解鎖
获取烈焰腿甲的图纸,獲取烈焰腿甲的圖紙
获取至臻腿甲的图纸,獲取至臻腿甲的圖紙
获得工人左纳后解锁,獲得工人左納後解鎖
获取板鞋的图纸,獲取板鞋的圖紙
制作洞洞鞋达到X18可解锁,製作洞洞鞋達到X18可解鎖
制作运动鞋达到X20可解锁,製作運動鞋達到X20可解鎖
制作拉丁舞鞋达到X28可解锁,製作拉丁舞鞋達到X28可解鎖
制作荒野皮鞋达到X32可解锁,製作荒野皮鞋達到X32可解鎖
制作拦路者鞋达到X36可解锁,製作攔路者鞋達到X36可解鎖
制作气垫鞋达到X40可解锁,製作氣墊鞋達到X40可解鎖
制作刺头靴达到X44可解锁,製作刺頭靴達到X44可解鎖
获取暗影忍者足具的图纸,獲取暗影忍者足具的圖紙
制作生化步兵鞋达到X50可解锁,製作生化步兵鞋達到X50可解鎖
获取杰克的脚步的图纸,獲取傑克的腳步的圖紙
制作铆钉鞋达到X46可解锁,製作鉚釘鞋達到X46可解鎖
制作洞洞鞋达到X7可解锁,製作洞洞鞋達到X7可解鎖
制作雨靴达到X7可解锁,製作雨靴達到X7可解鎖
制作战争勇者靴达到X8可解锁,製作戰爭勇者靴達到X8可解鎖
制作城市守卫靴达到X28可解锁,製作城市守衛靴達到X28可解鎖
制作战斗精英靴达到X32可解锁,製作戰鬥精英靴達到X32可解鎖
获取滑冰选手的旱冰鞋的图纸,獲取滑冰選手的旱冰鞋的圖紙
制作废土守望者板靴达到X36可解锁,製作廢土守望者板靴達到X36可解鎖
制作防爆靴达到X40可解锁,製作防爆靴達到X40可解鎖
制作最终武士靴达到X44可解锁,製作最終武士靴達到X44可解鎖
制作帝国沙漠靴达到X50可解锁,製作帝國沙漠靴達到X50可解鎖
获取遗迹骑士靴的图纸,獲取遺跡騎士靴的圖紙
制作巨兽靴达到X46可解锁,製作巨獸靴達到X46可解鎖
获得工人左纳加后解锁,獲得工人左納加後解鎖
制作创口贴达到X20可解锁,製作創口貼達到X20可解鎖
制作净水药片达到X20可解锁,製作凈水藥片達到X20可解鎖
制作战地起搏器达到X32可解锁,製作戰地起搏器達到X32可解鎖
制作怪物血液达到X36可解锁,製作怪物血液達到X36可解鎖
制作温暖药剂达到X40可解锁,製作溫暖藥劑達到X40可解鎖
制作随身医疗箱达到X40可解锁,製作隨身醫療箱達到X40可解鎖
制作冰凉的醒脑丸达到X44可解锁,製作冰涼的醒腦丸達到X44可解鎖
获取抗毒针的图纸,獲取抗毒針的圖紙
制作治愈喷雾达到X50可解锁,製作治愈噴霧達到X50可解鎖
获取奇怪的酒精饮料的图纸,獲取奇怪的酒精飲料的圖紙
制作抗辐药达到X46可解锁,製作抗輻藥達到X46可解鎖
获得工人劳伦斯后解锁,獲得工人勞倫斯後解鎖
获取测量套尺的图纸,獲取測量套尺的圖紙
制作简易酒精灯达到X20可解锁,製作簡易酒精燈達到X20可解鎖
制作战术远光手电达到X40可解锁,製作戰術遠光手電達到X40可解鎖
制作弹射钩爪达到X32可解锁,製作彈射鉤爪達到X32可解鎖
制作机械探矿器达到X36可解锁,製作機械探礦器達到X36可解鎖
获取机械润滑油的图纸,獲取機械潤滑油的圖紙
制作磁力手套达到X40可解锁,製作磁力手套達到X40可解鎖
制作机械修复装置达到X40可解锁,製作機械修復裝置達到X40可解鎖
制作弱点分析眼镜达到X44可解锁,製作弱點分析眼鏡達到X44可解鎖
制作探索者无人机达到X50可解锁,製作探索者無人機達到X50可解鎖
获取战术屏障发生器的图纸,獲取戰術屏障發生器的圖紙
制作自动追踪显像装置达到X46可解锁,製作自動追蹤顯像裝置達到X46可解鎖
制作铁制弹丸达到X20可解锁,製作鐵製彈丸達到X20可解鎖
制作捕兽夹达到X22可解锁,製作捕獸夾達到X22可解鎖
制作丛林吹箭达到X32可解锁,製作叢林吹箭達到X32可解鎖
获取手里剑的图纸,獲取手裏劍的圖紙
制作回旋镖达到X36可解锁,製作回旋鏢達到X36可解鎖
获取毒液刺针的图纸,獲取毒液刺針的圖紙
制作弹射袖箭达到X36可解锁,製作彈射袖箭達到X36可解鎖
制作破片地雷达到X40可解锁,製作破片地雷達到X40可解鎖
制作辐射飞镖达到X44可解锁,製作輻射飛鏢達到X44可解鎖
制作领主变异刺针达到X50可解锁,製作領主變異刺針達到X50可解鎖
制作咬人机械狗达到X46可解锁,製作咬人機械狗達到X46可解鎖
制作创口贴达到X8可解锁,製作創口貼達到X8可解鎖
制作马蜂窝达到X20可解锁,製作馬蜂窩達到X20可解鎖
制作冲击手雷达到X22可解锁,製作沖擊手雷達到X22可解鎖
制作闪光弹达到X36可解锁,製作閃光彈達到X36可解鎖
制作烟雾弹达到X36可解锁,製作煙霧彈達到X36可解鎖
制作毒气手雷达到X40可解锁,製作毒氣手雷達到X40可解鎖
制作燃烧手雷达到X44可解锁,製作燃燒手雷達到X44可解鎖
获取冰冻手雷的图纸,獲取冰凍手雷的圖紙
制作电击手雷达到X44可解锁,製作電擊手雷達到X44可解鎖
制作音爆手雷达到X50可解锁,製作音爆手雷達到X50可解鎖
制作溶解手雷达到X46可解锁,製作溶解手雷達到X46可解鎖
获得工人阿芙莉亚后解锁,獲得工人阿芙莉亞後解鎖
制作皮制手环达到X20可解锁,製作皮製手環達到X20可解鎖
制作小熊玩偶达到X22可解锁,製作小熊玩偶達到X22可解鎖
获取命运扑克的图纸,獲取命運撲克的圖紙
制作木制的鱼竿达到X36可解锁,製作木製的魚竿達到X36可解鎖
制作老式机械手表达到X36可解锁,製作老式機械手表達到X36可解鎖
制作复古的耳机达到X40可解锁,製作復古的耳機達到X40可解鎖
制作士兵的铭牌达到X40可解锁,製作士兵的銘牌達到X40可解鎖
获取银制子弹的图纸,獲取銀製子彈的圖紙
制作精致的打火机达到X44可解锁,製作精致的打火機達到X44可解鎖
制作银质十字架达到X50可解锁,製作銀質十字架達到X50可解鎖
获取新人的对戒的图纸,獲取新人的對戒的圖紙
制作冠军的金牌达到X46可解锁,製作冠軍的金牌達到X46可解鎖
获取废土旅行手册的图纸,獲取廢土旅行手冊的圖紙
制作土质火炮达到X7可解锁,製作土質火炮達到X7可解鎖
制作木板盾达到X8可解锁,製作木板盾達到X8可解鎖
制作远古铁盾达到X20可解锁,製作遠古鐵盾達到X20可解鎖
制作全钢盾牌达到X32可解锁,製作全鋼盾牌達到X32可解鎖
获取狂暴盾牌的图纸,獲取狂暴盾牌的圖紙
制作劫掠者盾牌达到X36可解锁,製作劫掠者盾牌達到X36可解鎖
制作链条大盾达到X36可解锁,製作鏈條大盾達到X36可解鎖
制作拦截盾牌达到X40可解锁,製作攔截盾牌達到X40可解鎖
制作合金盾牌大盾达到X44可解锁,製作合金盾牌大盾達到X44可解鎖
制作风力大盾达到X50可解锁,製作風力大盾達到X50可解鎖
获取喷火龙大盾的图纸,獲取噴火龍大盾的圖紙
获取压碎大盾的图纸,獲取壓碎大盾的圖紙
制作冰结大盾达到X46可解锁,製作冰結大盾達到X46可解鎖
装备描述说明的翻译》↓,裝備描述說明的翻譯》↓
街头混混的常备武器，大部分人没有勇气挥动它,街頭混混的常備武器，大部分人沒有勇氣揮動它
佩戴该武器一定要藏在袖子里，这样才能成功击倒敌人,佩戴該武器一定要藏在袖子裏，這樣才能成功擊倒敵人
实用的斧子，可以破窗清障，还可以砍人,實用的斧子，可以破窗清障，還可以砍人
造型曲线很漂亮的刀，实用性也还不错！,造型曲線很漂亮的刀，實用性也還不錯！
虽然救火时可以砍开障碍物，但是僵尸来的时候，它能救你的命,雖然救火時可以砍開障礙物，但是僵屍來的時候，它能救你的命
无论切割什么都会比较方便,無論切割什麽都會比較方便
钢铁合金的装备，锋利无比,鋼鐵合金的裝備，鋒利無比
看起来很狰狞，锋利的刀刃，削铁如泥,看起來很猙獰，鋒利的刀刃，削鐵如泥
厚重的刀身，锋利的刀刃，让他变成了敌人的噩梦,厚重的刀身，鋒利的刀刃，讓他變成了敵人的噩夢
铝合金的斧头，有着与他沉重外形不匹配的重量,鋁合金的斧頭，有著與他沈重外形不匹配的重量
钛合金斧头，满满的科技感的同时也有着满满的威力,鈦合金斧頭，滿滿的科技感的同時也有著滿滿的威力
沉重的长刀，震慑敌人的利器,沈重的長刀，震懾敵人的利器
两边开刃的巨斧，适合左右劈砍,兩邊開刃的巨斧，適合左右劈砍
锋利的刀刃是它的外表，残忍无情是它的内心,鋒利的刀刃是它的外表，殘忍無情是它的內心
坚硬实用且易于加工的武器,堅硬實用且易於加工的武器
经过特别加工过后的装备，比普通的木棒更好用,經過特別加工過後的裝備，比普通的木棒更好用
携带方便，晚上还能驱散黑暗,攜帶方便，晚上還能驅散黑暗
据说有喷气装置，可以破坏所有防御，但是应该已经是空瓶子了,據說有噴氣裝置，可以破壞所有防禦，但是應該已經是空瓶子了
镶嵌不知名石头的锤子，真的很重,鑲嵌不知名石頭的錘子，真的很重
沉重的铁棍，坚固是它的代名词,沈重的鐵棍，堅固是它的代名詞
酷炫的铁棍，同时也有巨大的威慑力,酷炫的鐵棍，同時也有巨大的威懾力
沉重的铁锤，碾压敌人,沈重的鐵錘，碾壓敵人
它是能彰显地位的权杖，也能击碎敌人的头颅,它是能彰顯地位的權杖，也能擊碎敵人的頭顱
高科技的产物，他能打击敌人也能麻痹敌人,高科技的產物，他能打擊敵人也能麻痹敵人
沉重的重量使它与强壮的英雄更加匹配,沈重的重量使它與強壯的英雄更加匹配
在击中敌人的时候能释放强大的电流，造成更多伤害,在擊中敵人的時候能釋放強大的電流，造成更多傷害
在机械动力的加持下，钉锤能直接击碎敌人的骨头,在機械動力的加持下，釘錘能直接擊碎敵人的骨頭
夸张的外表，强大的威力，英雄的信仰，敌人的噩梦,誇張的外表，強大的威力，英雄的信仰，敵人的噩夢
普普通通的弓箭，威力不大的同时，耐久也不太高,普普通通的弓箭，威力不大的同時，耐久也不太高
专业的复合弓，用料讲究，有一些威力,專業的復合弓，用料講究，有一些威力
竞技用品，威力大的同时对使用者要求也高,競技用品，威力大的同時對使用者要求也高
拥有强劲的穿透力的特殊弓,擁有強勁的穿透力的特殊弓
在夜晚使用它，就是敌人的噩梦,在夜晚使用它，就是敵人的噩夢
传说它可以同时发射多个箭簇，杀伤力十足,傳說它可以同時發射多個箭簇，殺傷力十足
非常不一样的弓，它不能发射箭簇，但是用来砸人很合适,非常不一樣的弓，它不能發射箭簇，但是用來砸人很合適
即使击不中敌人，它落地也会吓你一调,即使擊不中敵人，它落地也會嚇你一調
能将炸弹射出去的强弓,能將炸彈射出去的強弓
发射携带电网的弓，一旦中招，很难逃脱,發射攜帶電網的弓，一旦中招，很難逃脫
靠热感应追踪敌人的弓箭，敌人逃不掉的噩梦,靠熱感應追蹤敵人的弓箭，敵人逃不掉的噩夢
强大的粒子能量射线，被射中的敌人有死无生,強大的粒子能量射線，被射中的敵人有死無生
你猜下一发是否还有子弹，赌一把就能赢！,你猜下一發是否還有子彈，賭一把就能贏！
无论多强大的敌人变成蚂蚁也可以一脚踩死,無論多強大的敵人變成螞蟻也可以一腳踩死
曾经还在实验室的试制枪，不像普通的左轮手枪,曾經還在實驗室的試製槍，不像普通的左輪手槍
幸运之神眷顾的手枪，你的幸运就是敌人的厄运,幸運之神眷顧的手槍，你的幸運就是敵人的厄運
在废土上生存必备的收枪，它的威力能吓到所有人,在廢土上生存必備的收槍，它的威力能嚇到所有人
寂静的消音器，杀手的最爱,寂靜的消音器，殺手的最愛
强力的近战冲锋枪,強力的近戰沖鋒槍
供军警人员使用的特种手枪,供軍警人員使用的特種手槍
强大暴虐的电浆能扫平一切,強大暴虐的電漿能掃平一切
低调的外形，不低调的力量,低調的外形，不低調的力量
腐蚀性的子弹，它带给敌人的不仅仅是死亡，而是临近死亡的无尽折磨,腐蝕性的子彈，它帶給敵人的不僅僅是死亡，而是臨近死亡的無盡折磨
含有特别凝结剂的子弹，能够迅速冻结敌人,含有特別凝結劑的子彈，能夠迅速凍結敵人
射出强大的伽马射线直接将敌人分解,射出強大的伽馬射線直接將敵人分解
一支现代化改装的复古半自动步枪,一支現代化改裝的復古半自動步槍
性能可靠的近战冲锋枪,性能可靠的近戰沖鋒槍
狂野得外形，比他外形更狂野的是它的威力,狂野得外形，比他外形更狂野的是它的威力
源于它哒哒哒的射击声，它又被称为芝加哥打字机,源於它噠噠噠的射擊聲，它又被稱為芝加哥打字機
可靠性很好，射击精度也相当高，后坐力较大的冲锋枪,可靠性很好，射擊精度也相當高，後坐力較大的沖鋒槍
它的名字无人不晓，它的威力无人不知,它的名字無人不曉，它的威力無人不知
不仅打的快，而且打的准,不僅打的快，而且打的準
突击步枪，稳定性强，瞄准精度高,突擊步槍，穩定性強，瞄準精度高
强大的威力让敌人胆寒,強大的威力讓敵人膽寒
便于行动的突击枪，短和轻就是他的优点,便於行動的突擊槍，短和輕就是他的優點
能发出强力电流麻痹敌人,能發出強力電流麻痹敵人
无托结构的自动步枪，稳定性非常强,無托結構的自動步槍，穩定性非常強
能发出强力电磁脉冲，威力强大,能發出強力電磁脈沖，威力強大
当地人迎面看到它时，敌人已经死了,當地人迎面看到它時，敵人已經死了
一发击倒近处的任何野兽,一發擊倒近處的任何野獸
一把属于冲锋陷阵者的利器,一把屬於沖鋒陷陣者的利器
个性化的外形，是很好的吸引点,個性化的外形，是很好的吸引點
拥有强大的威力，对前方范围敌人造成毁灭打击,擁有強大的威力，對前方範圍敵人造成毀滅打擊
射程较短，但威力极大,射程較短，但威力極大
因为枪管多，所以命中率非常高,因為槍管多，所以命中率非常高
与他的大范围大杀伤性相对应的是它的消耗弹药量过大的缺点,與他的大範圍大殺傷性相對應的是它的消耗彈藥量過大的缺點
无与伦比的威力下，极高的命中率，超大的杀伤范围,無與倫比的威力下，極高的命中率，超大的殺傷範圍
被击中的敌人要小心，据说会冻结灵魂,被擊中的敵人要小心，據說會凍結靈魂
小心别被它射中，更要小心它子弹射中的地方,小心別被它射中，更要小心它子彈射中的地方
就像它的名字一样，他射出的子弹能让敌人感受到雷神的怒吼,就像它的名字一樣，他射出的子彈能讓敵人感受到雷神的怒吼
狂乱的子弹，仿佛在灼烧敌人的灵魂,狂亂的子彈，仿佛在灼燒敵人的靈魂
难得的长距离攻击散弹枪，但威力却没有因此减少分毫,難得的長距離攻擊散彈槍，但威力卻沒有因此減少分毫
强力射线散弹枪，令敌人胆寒的噩梦,強力射線散彈槍，令敵人膽寒的噩夢
射程能够达到1000m的长距离狙击枪,射程能夠達到1000m的長距離狙擊槍
动能强，杀伤力大，抗风阻的强力枪械,動能強，殺傷力大，抗風阻的強力槍械
极其精密的步枪，枪口焰、噪音和后座力都被减少了很多,極其精密的步槍，槍口焰、噪音和後座力都被減少了很多
高射击精度，又能够在恶劣的环境条件下能够工作的可靠枪械,高射擊精度，又能夠在惡劣的環境條件下能夠工作的可靠槍械
是特意为动物协会突击部队设计的反器材远程狙击步枪,是特意為動物協會突擊部隊設計的反器材遠程狙擊步槍
它的的威力能与Kar98k毛瑟步枪相媲美，子弹的飞行速度比98K还快,它的的威力能與Kar98k毛瑟步槍相媲美，子彈的飛行速度比98K還快
自动化很高的狙击枪，适合用作军用或警用狙击步枪,自動化很高的狙擊槍，適合用作軍用或警用狙擊步槍
被它射中后，死亡可能是最不痛苦的选择,被它射中後，死亡可能是最不痛苦的選擇
因威力过大和隐蔽性太强而遭到共同管控的枪械,因威力過大和隱蔽性太強而遭到共同管控的槍械
就如同它的名字一样，超远的距离，超大的威力，他唯一的弱点就是它脆弱的主人,就如同它的名字一樣，超遠的距離，超大的威力，他唯一的弱點就是它脆弱的主人
很简单的武器，不过设计精度很差,很簡單的武器，不過設計精度很差
经济实用的高伤害武器,經濟實用的高傷害武器
强大的射速射出穿透一切的小威力炮弹，没有生物可以挡住,強大的射速射出穿透一切的小威力炮彈，沒有生物可以擋住
向敌人发起冲锋时，它就是你最可靠的火力支援,向敵人發起沖鋒時，它就是你最可靠的火力支援
威力强大的冲锋枪,威力強大的沖鋒槍
战场上小型的支援武器，能轻松打掉敌人的火力点,戰場上小型的支援武器，能輕松打掉敵人的火力點
它的威力和它的外形一样令人惊讶，因为发射的只是大号子弹,它的威力和它的外形一樣令人驚訝，因為發射的只是大號子彈
便携式榴弹发射器，开火后就只能听到爆炸声,便攜式榴彈發射器，開火後就只能聽到爆炸聲
它的敌人们给它起了一个外号，叫做火龙,它的敵人們給它起了一個外號，叫做火龍
主要用于近距离打击坦克、装甲车辆和摧毁工事,主要用於近距離打擊坦克、裝甲車輛和摧毀工事
冒蓝火，哒哒哒的生命收割者,冒藍火，噠噠噠的生命收割者
暴虐的威力能让敌人感受到神灵的怒火,暴虐的威力能讓敵人感受到神靈的怒火
他肆虐的地方，不仅仅是短暂的堙灭还有长达百年的辐射,他肆虐的地方，不僅僅是短暫的堙滅還有長達百年的輻射
护甲不错的防具,護甲不錯的防具
融合了皮革与钢铁有较好的抗性,融合了皮革與鋼鐵有較好的抗性
拥有岩石般守护力量的外套，面对它，敌人会感到绝望,擁有巖石般守護力量的外套，面對它，敵人會感到絕望
外表看起来防御不太好，但是韧性很足哦,外表看起來防禦不太好，但是韌性很足哦
怎么也擦不干净的战甲，穿上它会感到别样的寒冷,怎麽也擦不幹凈的戰甲，穿上它會感到別樣的寒冷
特种部队专供，轻便高效的战甲,特種部隊專供，輕便高效的戰甲
帅气的战甲，防御力也还不错,帥氣的戰甲，防禦力也還不錯
有莲花纹路的黑色战甲，强大的防御中透着一丝丝神秘气息,有蓮花紋路的黑色戰甲，強大的防禦中透著一絲絲神秘氣息
多功能战甲，能给拥有者提供不俗的防护力和支持,多功能戰甲，能給擁有者提供不俗的防護力和支持
如它的名字一样，轻便整洁的外表下是可靠的防御力,如它的名字一樣，輕便整潔的外表下是可靠的防禦力
强大的防护力和隐蔽能力，令敌人胆寒,強大的防護力和隱蔽能力，令敵人膽寒
重量和防御力难以成正比，可以震慑敌人,重量和防禦力難以成正比，可以震懾敵人
全身铠甲拥有很强的防御力，,全身鎧甲擁有很強的防禦力，
最高科技，超高的防御力且拥有极快的速度,最高科技，超高的防禦力且擁有極快的速度
厚重敦实的防御力似乎能抵挡一切伤害,厚重敦實的防禦力似乎能抵擋一切傷害
钢铁制造的强力战甲,鋼鐵製造的強力戰甲
帅气的盔甲，穿上它后仿佛能增强勇气,帥氣的盔甲，穿上它後仿佛能增強勇氣
轻薄的外形不会影响它的防御力，反而更适合战场隐蔽偷袭,輕薄的外形不會影響它的防禦力，反而更適合戰場隱蔽偷襲
这是背叛了队友之人留下来的战甲，上面仿佛还残留着不甘心的亡魂,這是背叛了隊友之人留下來的戰甲，上面仿佛還殘留著不甘心的亡魂
帝国制式战甲,帝國製式戰甲
轻便的样式不会影响战士在复杂地形中的发挥,輕便的樣式不會影響戰士在復雜地形中的發揮
有些斑驳的战甲，通过它仿佛能感受到古代骑士的美德,有些斑駁的戰甲，通過它仿佛能感受到古代騎士的美德
高科技的动力战甲，提供不俗的防护还能提供动力支持,高科技的動力戰甲，提供不俗的防護還能提供動力支持
有些火焰似的斑纹，光鲜美丽的同时还有些强大的防御,有些火焰似的斑紋，光鮮美麗的同時還有些強大的防禦
至臻至上，无与伦比的防护力。,至臻至上，無與倫比的防護力。
能够方便的与别人沟通,能夠方便的與別人溝通
穿上似乎就能增加医术,穿上似乎就能增加醫術
又叫套头衫，穿上去很有时尚范,又叫套頭衫，穿上去很有時尚範
牛仔必备的套装，洒脱帅气,牛仔必備的套裝，灑脫帥氣
不错的衣物，穿上去能让人感觉舒适,不錯的衣物，穿上去能讓人感覺舒適
医生护士套装，似乎能增加医术,醫生護士套裝，似乎能增加醫術
又名凯夫拉防弹衣，是用有机纤维制造而成的,又名凱夫拉防彈衣，是用有機纖維製造而成的
防雨防御，耐脏易洗的衣物,防雨防禦，耐臟易洗的衣物
紧身轻便，据说它上面还留有传奇赛车手的气息,緊身輕便，據說它上面還留有傳奇賽車手的氣息
略显夸张的造型下，涵盖着灵魂舞者不平凡的一生,略顯誇張的造型下，涵蓋著靈魂舞者不平凡的一生
特工套装，将不起眼和逼格这两个冲突的特质包含在了一起,特工套裝，將不起眼和逼格這兩個沖突的特質包含在了一起
有棱角的衣物，亦如它主人的内心,有棱角的衣物，亦如它主人的內心
在防御进攻的同时也能防尘防沙，,在防禦進攻的同時也能防塵防沙，
一般的弹药也很难击穿,一般的彈藥也很難擊穿
带有尖刺的头盔，必要时可以用头撞击敌人,帶有尖刺的頭盔，必要時可以用頭撞擊敵人
有些厚重的口罩，但能防臭,有些厚重的口罩，但能防臭
行动感很强的头盔，戴上它似乎能提高人的行动力,行動感很強的頭盔，戴上它似乎能提高人的行動力
橄榄球手专用，能够保护脑袋受到伤害,橄欖球手專用，能夠保護腦袋受到傷害
厚重的头盔能够减少爆炸带来的伤害,厚重的頭盔能夠減少爆炸帶來的傷害
最终武士的头盔，帅气的同时也会提供强力保护,最終武士的頭盔，帥氣的同時也會提供強力保護
有些斑驳的头盔，据说上面携带者远古骑士的美德,有些斑駁的頭盔，據說上面攜帶者遠古騎士的美德
洁白无瑕的头盔，似乎上面有天马的灵魂,潔白無瑕的頭盔，似乎上面有天馬的靈魂
帝国制式头盔,帝國製式頭盔
厚重的外表下，是机器动力的结晶，能够提供不俗的动力支持,厚重的外表下，是機器動力的結晶，能夠提供不俗的動力支持
一顶拥有智慧的帽子,一頂擁有智慧的帽子
拥有一定防御力的面罩，戴上之后你会觉得很酷,擁有一定防禦力的面罩，戴上之後你會覺得很酷
看起来你可以呼叫小弟，其实没啥用,看起來你可以呼叫小弟，其實沒啥用
简约朴素的面具，不过可以稍微透气防火,簡約樸素的面具，不過可以稍微透氣防火
普普通通的帽子，可它的主人却有很多不平凡的经历,普普通通的帽子，可它的主人卻有很多不平凡的經歷
嚣张的外形，戴上它后内心会有不断地鼓励你去抢劫,囂張的外形，戴上它後內心會有不斷地鼓勵你去搶劫
有些让人害怕的面罩,有些讓人害怕的面罩
科技感很足面罩，戴上它能够提供多种技术支持,科技感很足面罩，戴上它能夠提供多種技術支持
帅气的贝雷帽，俊男美女的专属,帥氣的貝雷帽，俊男美女的專屬
形似大哥大的通讯器材，重量会压塌你的脖子,形似大哥大的通訊器材，重量會壓塌你的脖子
强力的器材，据说能给拥有者带来力量,強力的器材，據說能給擁有者帶來力量
生化武器的噩梦，能够保护拥有者受到感染,生化武器的噩夢，能夠保護擁有者受到感染
空洞的眼窝似乎有一丝丝的白火，据说那是死于非命的人不甘心地呐喊,空洞的眼窩似乎有一絲絲的白火，據說那是死於非命的人不甘心地吶喊
荒野的独行者最喜爱的衣服保暖防晒,荒野的獨行者最喜愛的衣服保暖防曬
对膝盖有特别防御的铠甲,對膝蓋有特別防禦的鎧甲
有些斑驳的裤子，透露着它主人不甘于平凡的内心,有些斑駁的褲子，透露著它主人不甘於平凡的內心
医疗兵专属，据说能提高一定的医疗能力,醫療兵專屬，據說能提高一定的醫療能力
酷炫的外形，强力的保护,酷炫的外形，強力的保護
蔚蓝的颜色，防水能力也很强,蔚藍的顏色，防水能力也很強
岩石裤甲，厚重敦实,巖石褲甲，厚重敦實
动感十足的裤甲,動感十足的褲甲
看上去有些古老的裤甲，穿上后似乎能听到不甘心地抱怨,看上去有些古老的褲甲，穿上後似乎能聽到不甘心地抱怨
特种部队专供裤甲，强大的防御力,特種部隊專供褲甲，強大的防禦力
天空部队的专属裤甲，防御力不错的同时行动也很方便,天空部隊的專屬褲甲，防禦力不錯的同時行動也很方便
绅士专属，修长的外形不会丝毫影响防御力的强大,紳士專屬，修長的外形不會絲毫影響防禦力的強大
非常敏捷，可以闪避大部分攻击,非常敏捷，可以閃避大部分攻擊
与传统裤子相比大幅增强了防御,與傳統褲子相比大幅增強了防禦
传上去，你会觉得自己能跑得很快,傳上去，你會覺得自己能跑得很快
厚重的外表，强大的防御,厚重的外表，強大的防禦
钢铁制造的腿甲，骑士的首选,鋼鐵製造的腿甲，騎士的首選
结实厚重的腿甲，穿上它能给人勇气,結實厚重的腿甲，穿上它能給人勇氣
轻便的推荐，利于在战场上隐蔽杀敌,輕便的推薦，利於在戰場上隱蔽殺敵
背叛者的腿甲，上面有被它主人抛弃的亡灵,背叛者的腿甲，上面有被它主人拋棄的亡靈
帝国制式腿甲,帝國製式腿甲
轻便的腿甲，方便人们在复杂地形中行走,輕便的腿甲，方便人們在復雜地形中行走
有些斑驳的腿甲，穿上后似乎能感受到远古骑士的美德,有些斑駁的腿甲，穿上後似乎能感受到遠古騎士的美德
厚重的腿甲，可在机械动力的支持下，显得动感时足,厚重的腿甲，可在機械動力的支持下，顯得動感時足
有着烈焰花纹的腿甲，强大的防御令敌人感到无力,有著烈焰花紋的腿甲，強大的防禦令敵人感到無力
潮流拖鞋，但是现在好像感觉有点冷...,潮流拖鞋，但是現在好像感覺有點冷...
不太透气的板鞋,不太透氣的板鞋
穿上后能够增加人的弹跳力,穿上後能夠增加人的彈跳力
拉丁舞专用舞鞋，能够增加人的魅力,拉丁舞專用舞鞋，能夠增加人的魅力
厚重的皮鞋，能够保护人们在荒野中的脚,厚重的皮鞋，能夠保護人們在荒野中的腳
强盗专属的鞋子,強盜專屬的鞋子
穿上后，能减少人走路的疲惫感,穿上後，能減少人走路的疲憊感
鞋头有尖刺，是有一定攻击性的鞋子,鞋頭有尖刺，是有一定攻擊性的鞋子
厚重的鞋子能够保护人免遭感染,厚重的鞋子能夠保護人免遭感染
柔软轻便的足具，便于隐蔽偷袭敌人,柔軟輕便的足具，便於隱蔽偷襲敵人
鞋底带有独特的钉子，方便攀爬和在冰上行走,鞋底帶有獨特的釘子，方便攀爬和在冰上行走
明星的鞋子，收藏价值极高,明星的鞋子，收藏價值極高
略显夸张的造型，掩盖不住舞者波折的一生,略顯誇張的造型，掩蓋不住舞者波折的一生
雨地里再也不怕湿脚了,雨地裏再也不怕濕腳了
行动比较缓慢的鞋,行動比較緩慢的鞋
厚重的鞋子，更厚重的使它主人那颗甘于奉献的心灵,厚重的鞋子，更厚重的使它主人那顆甘於奉獻的心靈
轻便但不失防御力，精英的选择,輕便但不失防禦力，精英的選擇
有些斑驳，有些厚重的鞋子，仿佛再说这它背后的沧桑,有些斑駁，有些厚重的鞋子，仿佛再說這它背後的滄桑
有趣的旱冰鞋，据说头一次穿上它的人都会载几个跟头,有趣的旱冰鞋，據說頭一次穿上它的人都會載幾個跟頭
厚重的鞋子，能够保护它的主人受到爆炸伤害,厚重的鞋子，能夠保護它的主人受到爆炸傷害
最终武士的鞋子，酷炫，霸气,最終武士的鞋子，酷炫，霸氣
帝国制式沙漠鞋，便于在沙漠中行走,帝國製式沙漠鞋，便於在沙漠中行走
用巨兽皮制作的靴子，强大，厚重,用巨獸皮製作的靴子，強大，厚重
有些陈旧斑驳的靴子，穿上它仿佛能感受到远古骑士的美德,有些陳舊斑駁的靴子，穿上它仿佛能感受到遠古騎士的美德
厚重的质感与机械动力的结合，能够提高人的行动速度,厚重的質感與機械動力的結合，能夠提高人的行動速度
临时创口处理贴,臨時創口處理貼
一针见效快速解毒,一針見效快速解毒
可以抵御一段时间的辐射干扰,可以抵禦一段時間的輻射幹擾
危险的血液，可以提高人的潜力,危險的血液，可以提高人的潛力
给寒冷的人们带来些温暖,給寒冷的人們帶來些溫暖
出门行走必备之物,出門行走必備之物
感冒退烧的首选，提神醒脑,感冒退燒的首選，提神醒腦
能够及时治疗轻微外伤,能夠及時治療輕微外傷
